time,ax,ay,az,bx,by,bz
95956340.0,2252.0,484.0,22296.0,-180.0,668.0,17924.0
96358340.0,2232.0,648.0,22056.0,80.0,848.0,18036.0
96760340.0,2252.0,636.0,22380.0,-20.0,740.0,18120.0
97162340.0,2400.0,588.0,21944.0,64.0,892.0,17800.0
97564340.0,2340.0,-628.0,21016.0,180.0,376.0,17376.0
97966340.0,2096.0,284.0,21632.0,-264.0,540.0,17492.0
98368340.0,2164.0,552.0,21984.0,-4.0,788.0,17780.0
98770340.0,2320.0,532.0,22188.0,32.0,816.0,17972.0
99172340.0,2084.0,472.0,22424.0,-164.0,624.0,18200.0
99574340.0,2200.0,752.0,22000.0,-60.0,872.0,17928.0
99976340.0,2464.0,692.0,21776.0,20.0,940.0,17760.0
100378340.0,2516.0,584.0,21880.0,128.0,1000.0,17960.0
100780340.0,2236.0,444.0,22092.0,84.0,788.0,18028.0
101182340.0,2396.0,580.0,21648.0,92.0,768.0,18320.0
101584340.0,2540.0,364.0,21576.0,16.0,808.0,17564.0
101986340.0,2032.0,484.0,22232.0,-4.0,780.0,17904.0
102388340.0,2212.0,396.0,22628.0,-184.0,624.0,18264.0
102790340.0,2640.0,600.0,21816.0,148.0,940.0,17944.0
103192340.0,2968.0,616.0,21608.0,148.0,764.0,18120.0
103594340.0,2332.0,288.0,22056.0,148.0,672.0,17884.0
103996340.0,2292.0,564.0,22100.0,48.0,728.0,18024.0
104398340.0,2160.0,644.0,22188.0,92.0,972.0,17864.0
104800340.0,2336.0,532.0,21976.0,-60.0,600.0,18312.0
105202358.0,2152.0,576.0,22136.0,-104.0,796.0,17952.0
105604340.0,2424.0,692.0,21872.0,256.0,1040.0,17864.0
106006340.0,2364.0,384.0,22320.0,80.0,616.0,18068.0
106408340.0,2328.0,616.0,22096.0,120.0,848.0,17796.0
106810340.0,2336.0,704.0,22036.0,28.0,908.0,17852.0
107212340.0,1952.0,368.0,22844.0,-36.0,724.0,17812.0
107614340.0,1992.0,580.0,22008.0,-8.0,764.0,18032.0
108016340.0,2356.0,712.0,21872.0,100.0,1140.0,17724.0
108418340.0,2260.0,360.0,22388.0,-116.0,764.0,18284.0
108820340.0,2352.0,584.0,22012.0,136.0,932.0,17800.0
109222340.0,2376.0,560.0,21776.0,136.0,892.0,17824.0
109624340.0,2184.0,472.0,22280.0,-88.0,704.0,18004.0
110026340.0,1860.0,540.0,22248.0,-68.0,792.0,17792.0
110428340.0,2284.0,584.0,21912.0,-108.0,832.0,17984.0
110830340.0,2424.0,616.0,21796.0,76.0,812.0,17984.0
111232340.0,2056.0,528.0,22256.0,-100.0,780.0,18016.0
111634340.0,2320.0,628.0,22064.0,-8.0,912.0,17900.0
112036340.0,1836.0,668.0,22468.0,-152.0,868.0,17892.0
112438340.0,2400.0,760.0,21840.0,8.0,1004.0,17828.0
112840340.0,2248.0,584.0,22200.0,16.0,812.0,18004.0
113242340.0,2392.0,456.0,22308.0,36.0,820.0,17808.0
113644340.0,2052.0,740.0,22160.0,-76.0,880.0,17896.0
114046340.0,2260.0,580.0,22148.0,4.0,856.0,18000.0
114448340.0,2212.0,396.0,22324.0,144.0,860.0,18000.0
114850340.0,2228.0,632.0,22156.0,-80.0,892.0,17852.0
115252340.0,2132.0,720.0,22164.0,-36.0,928.0,17920.0
115654340.0,2188.0,444.0,22248.0,-32.0,604.0,18220.0
116056340.0,2296.0,700.0,22188.0,0.0,924.0,17784.0
116458340.0,2280.0,520.0,22276.0,-64.0,888.0,17992.0
116860340.0,2304.0,220.0,22096.0,-212.0,472.0,18048.0
117262340.0,2320.0,668.0,21944.0,92.0,1088.0,17524.0
117664340.0,2384.0,504.0,22608.0,-84.0,660.0,18028.0
118066340.0,2240.0,460.0,22420.0,16.0,756.0,17988.0
118468340.0,2240.0,416.0,22168.0,-176.0,660.0,18112.0
118870340.0,2232.0,580.0,22044.0,-80.0,776.0,17952.0
119272340.0,2372.0,552.0,22052.0,-4.0,744.0,17924.0
119674340.0,2296.0,536.0,22080.0,-28.0,844.0,18028.0
120076340.0,2372.0,600.0,22124.0,92.0,880.0,17944.0
120478340.0,2196.0,464.0,22144.0,-152.0,780.0,17804.0
120880340.0,2068.0,324.0,22304.0,-124.0,560.0,18044.0
121282340.0,2708.0,280.0,22508.0,272.0,628.0,17972.0
121684340.0,1860.0,304.0,22768.0,-208.0,644.0,18116.0
122086340.0,3032.0,652.0,21740.0,496.0,880.0,17964.0
122488340.0,2340.0,488.0,22056.0,44.0,840.0,17968.0
122890340.0,2300.0,600.0,22436.0,-68.0,716.0,18064.0
123292340.0,2296.0,604.0,22180.0,-8.0,904.0,18040.0
123694340.0,2436.0,448.0,22256.0,60.0,772.0,17928.0
124096340.0,2328.0,584.0,22336.0,48.0,848.0,18016.0
124498340.0,2136.0,680.0,21868.0,-448.0,764.0,17904.0
124900340.0,2312.0,568.0,21812.0,196.0,980.0,17732.0
125302340.0,2148.0,624.0,21676.0,-12.0,960.0,17312.0
125704340.0,2320.0,520.0,22036.0,-12.0,800.0,17848.0
126106340.0,2204.0,604.0,22248.0,-52.0,716.0,18000.0
126508340.0,2328.0,496.0,22100.0,36.0,888.0,17916.0
126910340.0,2232.0,464.0,22068.0,32.0,812.0,17948.0
127312340.0,1772.0,828.0,22468.0,144.0,924.0,17760.0
127714340.0,2148.0,532.0,22248.0,-20.0,660.0,18064.0
128116340.0,2484.0,628.0,21932.0,220.0,980.0,17904.0
128518340.0,2272.0,512.0,22084.0,128.0,824.0,18088.0
128920340.0,2168.0,480.0,22284.0,-12.0,816.0,18064.0
129322340.0,2140.0,800.0,22120.0,-244.0,792.0,18080.0
129724340.0,2292.0,676.0,22156.0,-40.0,844.0,17924.0
130126340.0,2160.0,580.0,22116.0,32.0,796.0,18064.0
130528340.0,2272.0,780.0,22000.0,148.0,896.0,17824.0
130930340.0,2268.0,556.0,22016.0,56.0,812.0,18040.0
131332340.0,2288.0,484.0,22176.0,-104.0,764.0,17856.0
131734340.0,2272.0,540.0,22216.0,24.0,836.0,18020.0
132136340.0,2252.0,448.0,22016.0,-112.0,728.0,17936.0
132538340.0,2224.0,472.0,22144.0,-92.0,780.0,18076.0
132940340.0,2348.0,620.0,22376.0,56.0,788.0,18056.0
133342340.0,2476.0,684.0,22120.0,12.0,852.0,17888.0
133744340.0,2324.0,540.0,22184.0,-36.0,788.0,17932.0
134146340.0,2376.0,568.0,22252.0,-28.0,784.0,18128.0
134548340.0,2176.0,620.0,22252.0,-96.0,812.0,17952.0
134950340.0,2216.0,632.0,22252.0,48.0,880.0,17884.0
135352340.0,2188.0,568.0,22220.0,-40.0,780.0,17988.0
135754340.0,2276.0,512.0,22084.0,56.0,812.0,17952.0
136156340.0,2192.0,652.0,22224.0,12.0,772.0,18012.0
136558340.0,2200.0,556.0,22100.0,-100.0,744.0,17992.0
136960340.0,2416.0,704.0,22080.0,68.0,936.0,17788.0
